date,price,volume,case
May 20 2015 01: +0,0.031,90702,Operation Breakout Weapon Case
May 21 2015 01: +0,0.03,100445,Operation Breakout Weapon Case
May 22 2015 01: +0,0.03,137007,Operation Breakout Weapon Case
May 23 2015 01: +0,0.03,124382,Operation Breakout Weapon Case
May 24 2015 01: +0,0.03,112959,Operation Breakout Weapon Case
May 25 2015 01: +0,0.03,100336,Operation Breakout Weapon Case
May 26 2015 01: +0,0.03,106430,Operation Breakout Weapon Case
May 27 2015 01: +0,0.03,118407,Operation Breakout Weapon Case
May 28 2015 01: +0,0.03,109122,Operation Breakout Weapon Case
May 29 2015 01: +0,0.03,136019,Operation Breakout Weapon Case
May 30 2015 01: +0,0.03,145439,Operation Breakout Weapon Case
May 31 2015 01: +0,0.03,132003,Operation Breakout Weapon Case
Jun 01 2015 01: +0,0.03,122673,Operation Breakout Weapon Case
Jun 02 2015 01: +0,0.03,114154,Operation Breakout Weapon Case
Jun 03 2015 01: +0,0.03,122401,Operation Breakout Weapon Case
Jun 04 2015 01: +0,0.03,116006,Operation Breakout Weapon Case
Jun 05 2015 01: +0,0.03,126236,Operation Breakout Weapon Case
Jun 06 2015 01: +0,0.03,111313,Operation Breakout Weapon Case
Jun 07 2015 01: +0,0.03,108371,Operation Breakout Weapon Case
Jun 08 2015 01: +0,0.03,96335,Operation Breakout Weapon Case
Jun 09 2015 01: +0,0.03,94319,Operation Breakout Weapon Case
Jun 10 2015 01: +0,0.03,105021,Operation Breakout Weapon Case
Jun 11 2015 01: +0,0.03,84331,Operation Breakout Weapon Case
Jun 12 2015 01: +0,0.03,102322,Operation Breakout Weapon Case
Jun 13 2015 01: +0,0.03,103045,Operation Breakout Weapon Case
Jun 14 2015 01: +0,0.03,103621,Operation Breakout Weapon Case
Jun 15 2015 01: +0,0.03,88834,Operation Breakout Weapon Case
Jun 16 2015 01: +0,0.03,79603,Operation Breakout Weapon Case
Jun 17 2015 01: +0,0.03,79822,Operation Breakout Weapon Case
Jun 18 2015 01: +0,0.03,73541,Operation Breakout Weapon Case
Jun 19 2015 01: +0,0.03,83781,Operation Breakout Weapon Case
Jun 20 2015 01: +0,0.03,78486,Operation Breakout Weapon Case
Jun 21 2015 01: +0,0.03,74051,Operation Breakout Weapon Case
Jun 22 2015 01: +0,0.03,74275,Operation Breakout Weapon Case
Jun 23 2015 01: +0,0.03,66320,Operation Breakout Weapon Case
Jun 24 2015 01: +0,0.03,68908,Operation Breakout Weapon Case
Jun 25 2015 01: +0,0.03,76524,Operation Breakout Weapon Case
Jun 26 2015 01: +0,0.03,79425,Operation Breakout Weapon Case
Jun 27 2015 01: +0,0.03,80394,Operation Breakout Weapon Case
Jun 28 2015 01: +0,0.03,80882,Operation Breakout Weapon Case
Jun 29 2015 01: +0,0.03,79803,Operation Breakout Weapon Case
Jun 30 2015 01: +0,0.03,82015,Operation Breakout Weapon Case
Jul 01 2015 01: +0,0.03,88949,Operation Breakout Weapon Case
Jul 02 2015 01: +0,0.03,95001,Operation Breakout Weapon Case
Jul 03 2015 01: +0,0.03,80141,Operation Breakout Weapon Case
Jul 04 2015 01: +0,0.03,68239,Operation Breakout Weapon Case
Jul 05 2015 01: +0,0.03,71246,Operation Breakout Weapon Case
Jul 06 2015 01: +0,0.03,72086,Operation Breakout Weapon Case
Jul 07 2015 01: +0,0.03,72495,Operation Breakout Weapon Case
Jul 08 2015 01: +0,0.03,69573,Operation Breakout Weapon Case
Jul 09 2015 01: +0,0.03,78542,Operation Breakout Weapon Case
Jul 10 2015 01: +0,0.03,71748,Operation Breakout Weapon Case
Jul 11 2015 01: +0,0.03,68133,Operation Breakout Weapon Case
Jul 12 2015 01: +0,0.03,67344,Operation Breakout Weapon Case
Jul 13 2015 01: +0,0.03,74614,Operation Breakout Weapon Case
Jul 14 2015 01: +0,0.03,66061,Operation Breakout Weapon Case
Jul 15 2015 01: +0,0.03,68061,Operation Breakout Weapon Case
Jul 16 2015 01: +0,0.03,67145,Operation Breakout Weapon Case
Jul 17 2015 01: +0,0.03,71105,Operation Breakout Weapon Case
Jul 18 2015 01: +0,0.03,74036,Operation Breakout Weapon Case
Jul 19 2015 01: +0,0.03,74147,Operation Breakout Weapon Case
Jul 20 2015 01: +0,0.03,78127,Operation Breakout Weapon Case
Jul 21 2015 01: +0,0.03,69351,Operation Breakout Weapon Case
Jul 22 2015 01: +0,0.03,66929,Operation Breakout Weapon Case
Jul 23 2015 01: +0,0.03,78901,Operation Breakout Weapon Case
Jul 24 2015 01: +0,0.03,73773,Operation Breakout Weapon Case
Jul 25 2015 01: +0,0.03,78267,Operation Breakout Weapon Case
Jul 26 2015 01: +0,0.03,72385,Operation Breakout Weapon Case
Jul 27 2015 01: +0,0.03,79863,Operation Breakout Weapon Case
Jul 28 2015 01: +0,0.03,73311,Operation Breakout Weapon Case
Jul 29 2015 01: +0,0.03,70134,Operation Breakout Weapon Case
Jul 30 2015 01: +0,0.03,73561,Operation Breakout Weapon Case
Jul 31 2015 01: +0,0.03,75096,Operation Breakout Weapon Case
Aug 01 2015 01: +0,0.03,78530,Operation Breakout Weapon Case
Aug 02 2015 01: +0,0.03,83505,Operation Breakout Weapon Case
Aug 03 2015 01: +0,0.03,69609,Operation Breakout Weapon Case
Aug 04 2015 01: +0,0.03,70071,Operation Breakout Weapon Case
Aug 05 2015 01: +0,0.03,80399,Operation Breakout Weapon Case
